id;searchengine_id;searchengine;query_id;query;url;main;position;created_at;ip
3600;12;Google_News_SE;105;rammstein;https://www.vk.se/2023-07-16/demonstrationer-mot-rammstein-de1b7;https://www.vk.se/;3;2023-07-19T14:22:55.728Z;172.67.69.249
3601;12;Google_News_SE;105;rammstein;https://www.spiegel.de/kultur/musik/till-lindemann-keine-ermittlungen-gegen-rammstein-saenger-in-litauen-a-c974a73a-75d4-4797-9dd7-fb1cf3acf880;https://www.spiegel.de/;4;2023-07-19T14:22:56.263Z;128.65.210.184
3602;12;Google_News_SE;105;rammstein;https://www.sydsvenskan.se/2023-06-24/ingen-utredning-mot-rammstein-sangare-i-vilnius;https://www.sydsvenskan.se/;5;2023-07-19T14:22:56.857Z;104.18.31.232
3603;12;Google_News_SE;105;rammstein;https://gaffa.se/nyheter/2023/juni/rammstein-svarar-pa-overgreppsanklagelser-drabbats-hart/;https://gaffa.se/;6;2023-07-19T14:22:57.530Z;104.21.89.22
3604;12;Google_News_SE;105;rammstein;https://osterbottenstidning.fi/Artikel/Visa/702773;https://osterbottenstidning.fi/;7;2023-07-19T14:22:58.164Z;34.241.206.245
3605;12;Google_News_SE;105;rammstein;https://www.aftonbladet.se/nojesbladet/a/O80jj1/tre-svenska-kvinnor-vittnar-om-rammstein-systemet;https://www.aftonbladet.se/;8;2023-07-19T14:22:58.649Z;52.222.214.83
3606;12;Google_News_SE;105;rammstein;https://www.dn.se/kultur/sandra-stiskalo-skandalerna-kring-rammstein-gar-rakt-in-i-de-tyska-smartpunkterna/;https://www.dn.se/;9;2023-07-19T14:22:59.385Z;23.206.209.102
3607;12;Google_News_SE;105;rammstein;https://www.hbl.fi/artikel/4d1ace10-915f-4bb6-bb0e-e33ce94901cd;https://www.hbl.fi/;10;2023-07-19T14:22:59.992Z;34.88.80.227
3608;12;Google_News_SE;105;rammstein;https://omni.se/ingen-utredning-i-vilnius-mot-rammstein-sangare/a/8JVW9G;https://omni.se/;11;2023-07-19T14:23:00.582Z;199.232.198.132
3609;12;Google_News_SE;105;rammstein;https://www.expressen.se/noje/kravet-efter-anklagelserna-stoppa-rammsteins-turne/;https://www.expressen.se/;12;2023-07-19T14:23:01.396Z;23.206.209.102
